substituent,molecular_formula,Name,ΔVC-m,ΔVC -p,σm,σp,Fb,Rc,cid,molecular_weight,exact_mass,monoisotopic_mass,charge,heavy_atom_count,h_bond_donor_count,h_bond_acceptor_count,xlogp,tpsa,canonical_smiles,complexity,covalent_unit_count,all_atoms_count,all_atoms_count_unique,Num_of_Rings,heavy_atoms,aromatic_bond,single_bond,double_bond,triple_bond,C,H,N,O,S,F,Cl,P,Ge,Se,Si,Br,B,As
CH=CHCOC6H5,C15H12O,Chalcone,7.491841889999951,8.4,0.18,0.05,0.25,-0.2,637760,208.25,208.088815002,208.088815002,0,16,0,1,3.1,17.1,C1=CC=C(C=C1)C=CC(=O)C2=CC=CC=C2,242,1,28,3,2,16,11,3,2,0,15.0,12.0,,1.0,,,,,,,,,,
COC6H5,C13H10O,Benzophenone,6.613327889999769,8.4,0.34,0.43,0.31,0.12,3102,182.22,182.073164938,182.073164938,0,14,0,1,3.4,17.1,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,165,1,24,3,2,14,11,2,1,0,13.0,10.0,,1.0,,,,,,,,,,
OCF3,C7H5F3O,(Trifluoromethoxy)benzene,12.009913889999453,8.3,0.38,0.35,0.39,-0.04,68010,162.11,162.02924926,162.02924926,0,11,0,4,3.2,9.2,C1=CC=C(C=C1)OC(F)(F)F,115,1,16,4,1,11,6,5,0,0,7.0,5.0,,1.0,,3.0,,,,,,,,
5-pyrimidinyl,C10H8N2,5-phenylpyrimidine,8.758784579999249,8.291289629999113,0.28,0.39,0.25,0.14,817373,156.18,156.068748264,156.068748264,0,12,0,2,1.8,25.8,C1=CC=C(C=C1)C2=CN=CN=C2,124,1,20,3,2,12,11,1,0,0,10.0,8.0,2.0,,,,,,,,,,,
5-pyrimidinyl,C10H8N2,5-phenylpyrimidine,8.758784579999249,8.291289629999113,0.28,0.39,0.25,0.14,18923,156.18,156.068748264,156.068748264,0,12,0,2,1.9,25.8,C1=CC=C(C=C1)C2=NC=NC=C2,130,1,20,3,2,12,11,1,0,0,10.0,8.0,2.0,,,,,,,,,,,
5-pyrimidinyl,C10H8N2,5-phenylpyrimidine,8.758784579999249,8.291289629999113,0.28,0.39,0.25,0.14,193499,156.18,156.068748264,156.068748264,0,12,0,2,1.5,25.8,C1=CC=C(C=C1)C2=NN=CC=C2,130,1,20,3,2,12,11,1,0,0,10.0,8.0,2.0,,,,,,,,,,,
5-pyrimidinyl,C10H8N2,5-phenylpyrimidine,8.758784579999249,8.291289629999113,0.28,0.39,0.25,0.14,593578,156.18,156.068748264,156.068748264,0,12,0,2,2.2,25.8,C1=CC=C(C=C1)C2=NC=CC=N2,124,1,20,3,2,12,11,1,0,0,10.0,8.0,2.0,,,,,,,,,,,
4-pyrimidinyl,C10H8N2,4-Phenylpyrimidine,5.310617129999372,7.0055216399994125,0.3,0.63,0.18,0.45,817373,156.18,156.068748264,156.068748264,0,12,0,2,1.8,25.8,C1=CC=C(C=C1)C2=CN=CN=C2,124,1,20,3,2,12,11,1,0,0,10.0,8.0,2.0,,,,,,,,,,,
4-pyrimidinyl,C10H8N2,4-Phenylpyrimidine,5.310617129999372,7.0055216399994125,0.3,0.63,0.18,0.45,18923,156.18,156.068748264,156.068748264,0,12,0,2,1.9,25.8,C1=CC=C(C=C1)C2=NC=NC=C2,130,1,20,3,2,12,11,1,0,0,10.0,8.0,2.0,,,,,,,,,,,
4-pyrimidinyl,C10H8N2,4-Phenylpyrimidine,5.310617129999372,7.0055216399994125,0.3,0.63,0.18,0.45,193499,156.18,156.068748264,156.068748264,0,12,0,2,1.5,25.8,C1=CC=C(C=C1)C2=NN=CC=C2,130,1,20,3,2,12,11,1,0,0,10.0,8.0,2.0,,,,,,,,,,,
4-pyrimidinyl,C10H8N2,4-Phenylpyrimidine,5.310617129999372,7.0055216399994125,0.3,0.63,0.18,0.45,593578,156.18,156.068748264,156.068748264,0,12,0,2,2.2,25.8,C1=CC=C(C=C1)C2=NC=CC=N2,124,1,20,3,2,12,11,1,0,0,10.0,8.0,2.0,,,,,,,,,,,
3-PYRIDAZINYL,C10H8N2,3-Phenylpyridazine,3.1927708799992915,4.614708539999634,0.28,0.48,0.21,0.27,817373,156.18,156.068748264,156.068748264,0,12,0,2,1.8,25.8,C1=CC=C(C=C1)C2=CN=CN=C2,124,1,20,3,2,12,11,1,0,0,10.0,8.0,2.0,,,,,,,,,,,
3-PYRIDAZINYL,C10H8N2,3-Phenylpyridazine,3.1927708799992915,4.614708539999634,0.28,0.48,0.21,0.27,18923,156.18,156.068748264,156.068748264,0,12,0,2,1.9,25.8,C1=CC=C(C=C1)C2=NC=NC=C2,130,1,20,3,2,12,11,1,0,0,10.0,8.0,2.0,,,,,,,,,,,
3-PYRIDAZINYL,C10H8N2,3-Phenylpyridazine,3.1927708799992915,4.614708539999634,0.28,0.48,0.21,0.27,193499,156.18,156.068748264,156.068748264,0,12,0,2,1.5,25.8,C1=CC=C(C=C1)C2=NN=CC=C2,130,1,20,3,2,12,11,1,0,0,10.0,8.0,2.0,,,,,,,,,,,
3-PYRIDAZINYL,C10H8N2,3-Phenylpyridazine,3.1927708799992915,4.614708539999634,0.28,0.48,0.21,0.27,593578,156.18,156.068748264,156.068748264,0,12,0,2,2.2,25.8,C1=CC=C(C=C1)C2=NC=CC=N2,124,1,20,3,2,12,11,1,0,0,10.0,8.0,2.0,,,,,,,,,,,
2-pyrimidinyl,C10H8N2,2-Phenylpyrimidine,-0.667043130000162,1.0328814599994653,0.23,0.53,0.13,0.4,817373,156.18,156.068748264,156.068748264,0,12,0,2,1.8,25.8,C1=CC=C(C=C1)C2=CN=CN=C2,124,1,20,3,2,12,11,1,0,0,10.0,8.0,2.0,,,,,,,,,,,
2-pyrimidinyl,C10H8N2,2-Phenylpyrimidine,-0.667043130000162,1.0328814599994653,0.23,0.53,0.13,0.4,18923,156.18,156.068748264,156.068748264,0,12,0,2,1.9,25.8,C1=CC=C(C=C1)C2=NC=NC=C2,130,1,20,3,2,12,11,1,0,0,10.0,8.0,2.0,,,,,,,,,,,
2-pyrimidinyl,C10H8N2,2-Phenylpyrimidine,-0.667043130000162,1.0328814599994653,0.23,0.53,0.13,0.4,193499,156.18,156.068748264,156.068748264,0,12,0,2,1.5,25.8,C1=CC=C(C=C1)C2=NN=CC=C2,130,1,20,3,2,12,11,1,0,0,10.0,8.0,2.0,,,,,,,,,,,
2-pyrimidinyl,C10H8N2,2-Phenylpyrimidine,-0.667043130000162,1.0328814599994653,0.23,0.53,0.13,0.4,593578,156.18,156.068748264,156.068748264,0,12,0,2,2.2,25.8,C1=CC=C(C=C1)C2=NC=CC=N2,124,1,20,3,2,12,11,1,0,0,10.0,8.0,2.0,,,,,,,,,,,
NHCOCF3 ,C8H6F3NO,"2,2,2-Trifluoro-N-phenylacetamide",10.94314688999971,8.2,0.3,0.12,0.38,-0.26,67881,189.13,189.04014830,189.04014830,0,13,1,4,2.2,29.1,C1=CC=C(C=C1)NC(=O)C(F)(F)F,184,1,19,5,1,13,6,6,1,0,8.0,6.0,1.0,1.0,,3.0,,,,,,,,
COOMe ,C8H8O2,Methylbenzoate,6.04856888999997,8.2,0.37,0.45,0.34,0.11,7150,136.15,136.052429494,136.052429494,0,10,0,2,2.1,26.3,COC(=O)C1=CC=CC=C1,114,1,18,3,1,10,6,3,1,0,8.0,8.0,,2.0,,,,,,,,,,
COOMe ,C8H8O2,Methylbenzoate,6.04856888999997,8.2,0.37,0.45,0.34,0.11,31229,136.15,136.052429494,136.052429494,0,10,0,2,1.5,26.3,CC(=O)OC1=CC=CC=C1,114,1,18,3,1,10,6,3,1,0,8.0,8.0,,2.0,,,,,,,,,,
OCOMe ,C8H8O2,Phenyl acetate,1.404994889999646,1.5,0.39,0.31,0.42,-0.11,7150,136.15,136.052429494,136.052429494,0,10,0,2,2.1,26.3,COC(=O)C1=CC=CC=C1,114,1,18,3,1,10,6,3,1,0,8.0,8.0,,2.0,,,,,,,,,,
OCOMe ,C8H8O2,Phenyl acetate,1.404994889999646,1.5,0.39,0.31,0.42,-0.11,31229,136.15,136.052429494,136.052429494,0,10,0,2,1.5,26.3,CC(=O)OC1=CC=CC=C1,114,1,18,3,1,10,6,3,1,0,8.0,8.0,,2.0,,,,,,,,,,
CONH2,C7H7NO,Benzamide,7.05258488999986,8.1,0.28,0.36,0.26,0.1,2331,121.14,121.052763847,121.052763847,0,9,1,1,0.6,43.1,C1=CC=C(C=C1)C(=O)N,106,1,16,4,1,9,6,2,1,0,7.0,7.0,1.0,1.0,,,,,,,,,,
CONH2,C7H7NO,Benzamide,7.05258488999986,8.1,0.28,0.36,0.26,0.1,5324470,121.14,121.052763847,121.052763847,0,9,1,2,1.9,32.6,C1=CC=C(C=C1)C=NO,95.1,1,16,4,1,9,6,2,1,0,7.0,7.0,1.0,1.0,,,,,,,,,,
CONH2,C7H7NO,Benzamide,7.05258488999986,8.1,0.28,0.36,0.26,0.1,7671,121.14,121.052763847,121.052763847,0,9,1,1,1.2,29.1,C1=CC=C(C=C1)NC=O,86.9,1,16,4,1,9,6,2,1,0,7.0,7.0,1.0,1.0,,,,,,,,,,
CH=NOH,C7H7NO,(Z)-Benzaldehyde oxime,4.080070019999587,4.716992669999997,0.22,0.1,0.28,-0.18,2331,121.14,121.052763847,121.052763847,0,9,1,1,0.6,43.1,C1=CC=C(C=C1)C(=O)N,106,1,16,4,1,9,6,2,1,0,7.0,7.0,1.0,1.0,,,,,,,,,,
CH=NOH,C7H7NO,(Z)-Benzaldehyde oxime,4.080070019999587,4.716992669999997,0.22,0.1,0.28,-0.18,5324470,121.14,121.052763847,121.052763847,0,9,1,2,1.9,32.6,C1=CC=C(C=C1)C=NO,95.1,1,16,4,1,9,6,2,1,0,7.0,7.0,1.0,1.0,,,,,,,,,,
CH=NOH,C7H7NO,(Z)-Benzaldehyde oxime,4.080070019999587,4.716992669999997,0.22,0.1,0.28,-0.18,7671,121.14,121.052763847,121.052763847,0,9,1,1,1.2,29.1,C1=CC=C(C=C1)NC=O,86.9,1,16,4,1,9,6,2,1,0,7.0,7.0,1.0,1.0,,,,,,,,,,
NHCHO ,C7H7NO,Formanilide,5.170054889999789,1.3,0.19,0.0,0.28,-0.28,2331,121.14,121.052763847,121.052763847,0,9,1,1,0.6,43.1,C1=CC=C(C=C1)C(=O)N,106,1,16,4,1,9,6,2,1,0,7.0,7.0,1.0,1.0,,,,,,,,,,
NHCHO ,C7H7NO,Formanilide,5.170054889999789,1.3,0.19,0.0,0.28,-0.28,5324470,121.14,121.052763847,121.052763847,0,9,1,2,1.9,32.6,C1=CC=C(C=C1)C=NO,95.1,1,16,4,1,9,6,2,1,0,7.0,7.0,1.0,1.0,,,,,,,,,,
NHCHO ,C7H7NO,Formanilide,5.170054889999789,1.3,0.19,0.0,0.28,-0.28,7671,121.14,121.052763847,121.052763847,0,9,1,1,1.2,29.1,C1=CC=C(C=C1)NC=O,86.9,1,16,4,1,9,6,2,1,0,7.0,7.0,1.0,1.0,,,,,,,,,,
PS(C6H5)2,C18H15PS,Triphenylphosphine sulfide,7.115335889999714,8.1,0.29,0.47,0.23,0.24,19758,294.4,294.06320865,294.06320865,0,20,0,1,4.6,32.1,C1=CC=C(C=C1)P(=S)(C2=CC=CC=C2)C3=CC=CC=C3,281,1,35,4,3,20,16,3,1,0,18.0,15.0,,,1.0,,,1.0,,,,,,
C6H4-3NO2,C12H9NO2,3-Nitrobiphenyl,8.49585788999984,8.1,0.21,0.2,0.23,-0.03,16450,199.20,199.063328530,199.063328530,0,15,0,2,3.9,45.8,C1=CC=C(C=C1)C2=CC(=CC=C2)[N+](=O)[O-],218,1,24,4,2,15,11,3,1,0,12.0,9.0,1.0,2.0,,,,,,,,,,
CH=CHCHO ,C9H8O,cinnamaldehyde,5.170054889999789,8.1,0.24,0.13,0.29,-0.16,637511,132.16,132.057514874,132.057514874,0,10,0,1,1.9,17.1,C1=CC=C(C=C1)C=CC=O,121,1,18,3,1,10,6,2,2,0,9.0,8.0,,1.0,,,,,,,,,,
CH2SCF3 ,C8H7F3S,Benzyl trifluoromethyl sulfide,8.24485388999931,8.1,0.12,0.15,0.13,0.02,3782775,192.20,192.02205588,192.02205588,0,12,0,4,3.6,25.3,C1=CC=C(C=C1)CSC(F)(F)F,127,1,19,4,1,12,6,6,0,0,8.0,7.0,,,1.0,3.0,,,,,,,,
COOCH(C6H5)2,C20H16O2,benzhydryl benzoate,6.063001619999201,8.032127999999116,0.36,0.56,0.28,0.28,280558,288.3,288.115029749,288.115029749,0,22,0,2,5,26.3,C1=CC=C(C=C1)C(C2=CC=CC=C2)OC(=O)C3=CC=CC=C3,316,1,38,3,3,22,16,5,1,0,20.0,16.0,,2.0,,,,,,,,,,
PO(OEt)2,C10H15O3P,Diethyl phenylphosphonate,6.111319889999824,7.8,0.55,0.6,0.52,0.08,15642,214.20,214.07588133,214.07588133,0,14,0,3,1.8,35.5,CCOP(=O)(C1=CC=CC=C1)OCC,190,1,29,4,1,14,6,7,1,0,10.0,15.0,,3.0,,,,1.0,,,,,,
P(O)Me2,C8H11OP,Dimethylphenylphosphine oxide,6.927082890000152,7.8,0.43,0.5,0.4,0.1,66304,154.15,154.054751968,154.054751968,0,10,0,1,1.5,17.1,CP(=O)(C)C1=CC=CC=C1,141,1,21,4,1,10,6,3,1,0,8.0,11.0,,1.0,,,,1.0,,,,,,
B(OH)2,C6H7BO2,Phenylboronic acid,6.738829889999477,7.7,-0.01,0.12,-0.03,0.15,66827,121.93,122.0539096,122.0539096,0,9,2,2,,40.5,B(C1=CC=CC=C1)(O)O,79.1,1,16,4,1,9,6,3,0,0,6.0,7.0,,2.0,,,,,,,,,1.0,
COC(Me)3,C11H14O,"2,2-Dimethylpropiophenone",5.672062889999733,7.6,0.27,0.32,0.26,0.06,70308,162.23,162.104465066,162.104465066,0,12,0,1,3,17.1,CC(C)(C)C(=O)C1=CC=CC=C1,158,1,26,3,1,12,6,5,1,0,11.0,14.0,,1.0,,,,,,,,,,
Br ,C6H5Br,BROMOBENZENE,9.49987388999973,7.6,0.39,0.23,0.45,-0.22,7961,157.01,155.95746,155.95746,0,7,0,0,3,0,C1=CC=C(C=C1)Br,46.1,1,12,3,1,7,6,1,0,0,6.0,5.0,,,,,,,,,,1.0,,
AsO(C6H5)2,C18H15AsO,Triphenylarsine oxide,6.332830919999018,7.635541679999415,0.54,0.64,0.49,0.15,14382,322.2,322.033885,322.033885,0,20,0,1,,17.1,C1=CC=C(C=C1)[As](=O)(C2=CC=CC=C2)C3=CC=CC=C3,281,1,35,4,3,20,16,3,1,0,18.0,15.0,,1.0,,,,,,,,,,1.0
OCHF2,C7H6F2O,(difluoromethoxy)benzene,11.068648889999418,7.5,0.31,0.18,0.37,-0.19,68015,144.12,144.03867113,144.03867113,0,10,0,3,2.4,9.2,C1=CC=C(C=C1)OC(F)F,89.6,1,16,4,1,10,6,4,0,0,7.0,6.0,,1.0,,2.0,,,,,,,,
COOEt ,C9H10O2,Ethyl benzoate,5.35830788999935,7.5,0.37,0.45,0.34,0.11,7165,150.17,150.068079557,150.068079557,0,11,0,2,2.6,26.3,CCOC(=O)C1=CC=CC=C1,126,1,21,3,1,11,6,4,1,0,9.0,10.0,,2.0,,,,,,,,,,
COOEt ,C9H10O2,Ethyl benzoate,5.35830788999935,7.5,0.37,0.45,0.34,0.11,8785,150.17,150.068079557,150.068079557,0,11,0,2,2,26.3,CC(=O)OCC1=CC=CC=C1,126,1,21,3,1,11,6,4,1,0,9.0,10.0,,2.0,,,,,,,,,,
COOEt ,C9H10O2,Ethyl benzoate,5.35830788999935,7.5,0.37,0.45,0.34,0.11,107,150.17,150.068079557,150.068079557,0,11,1,2,1.8,37.3,C1=CC=C(C=C1)CCC(=O)O,126,1,21,3,1,11,6,4,1,0,9.0,10.0,,2.0,,,,,,,,,,
CH2OCOMe ,C9H10O2,Benzyl acetate,5.860315889999295,4.4,0.04,0.05,0.07,-0.02,7165,150.17,150.068079557,150.068079557,0,11,0,2,2.6,26.3,CCOC(=O)C1=CC=CC=C1,126,1,21,3,1,11,6,4,1,0,9.0,10.0,,2.0,,,,,,,,,,
CH2OCOMe ,C9H10O2,Benzyl acetate,5.860315889999295,4.4,0.04,0.05,0.07,-0.02,8785,150.17,150.068079557,150.068079557,0,11,0,2,2,26.3,CC(=O)OCC1=CC=CC=C1,126,1,21,3,1,11,6,4,1,0,9.0,10.0,,2.0,,,,,,,,,,
CH2OCOMe ,C9H10O2,Benzyl acetate,5.860315889999295,4.4,0.04,0.05,0.07,-0.02,107,150.17,150.068079557,150.068079557,0,11,1,2,1.8,37.3,C1=CC=C(C=C1)CCC(=O)O,126,1,21,3,1,11,6,4,1,0,9.0,10.0,,2.0,,,,,,,,,,
CH2CH2COOH,C9H10O2,hydrocinnamic acid,0.5264808899994641,-0.3,-0.03,-0.07,0.02,-0.09,7165,150.17,150.068079557,150.068079557,0,11,0,2,2.6,26.3,CCOC(=O)C1=CC=CC=C1,126,1,21,3,1,11,6,4,1,0,9.0,10.0,,2.0,,,,,,,,,,
CH2CH2COOH,C9H10O2,hydrocinnamic acid,0.5264808899994641,-0.3,-0.03,-0.07,0.02,-0.09,8785,150.17,150.068079557,150.068079557,0,11,0,2,2,26.3,CC(=O)OCC1=CC=CC=C1,126,1,21,3,1,11,6,4,1,0,9.0,10.0,,2.0,,,,,,,,,,
CH2CH2COOH,C9H10O2,hydrocinnamic acid,0.5264808899994641,-0.3,-0.03,-0.07,0.02,-0.09,107,150.17,150.068079557,150.068079557,0,11,1,2,1.8,37.3,C1=CC=C(C=C1)CCC(=O)O,126,1,21,3,1,11,6,4,1,0,9.0,10.0,,2.0,,,,,,,,,,
SCH=CH2 ,C8H8S,Phenyl vinyl sulfide,6.927082890000152,7.5,0.26,0.2,0.29,-0.09,74572,136.22,136.03467143,136.03467143,0,9,0,1,3.2,25.3,C=CSC1=CC=CC=C1,82.6,1,17,3,1,9,6,2,1,0,8.0,8.0,,,1.0,,,,,,,,,
SCH =CH2,C8H8S,Phenyl vinyl sulfide,3.8522838899995158,4.1,0.26,0.2,0.29,-0.09,74572,136.22,136.03467143,136.03467143,0,9,0,1,3.2,25.3,C=CSC1=CC=CC=C1,82.6,1,17,3,1,9,6,2,1,0,8.0,8.0,,,1.0,,,,,,,,,
OCHCl2,C7H6Cl2O,dichloromethyl phenyl ether,11.319652889999947,7.4,0.38,0.26,0.43,-0.17,319898,177.02,175.9795702,175.9795702,0,10,0,1,2.9,9.2,C1=CC=C(C=C1)OC(Cl)Cl,89.6,1,16,4,1,10,6,4,0,0,7.0,6.0,,1.0,,,2.0,,,,,,,
C6Cl5,C12H5Cl5,"2,3,4,5,6-Pentachlorobiphenyl",7.554592889999805,7.4,0.25,0.24,0.27,-0.03,17348,326.4,325.880439,323.883389,0,17,0,0,6.7,0,C1=CC=C(C=C1)C2=C(C(=C(C(=C2Cl)Cl)Cl)Cl)Cl,237,1,22,3,2,17,11,6,0,0,12.0,5.0,,,,,5.0,,,,,,,
As(O)Et2,C10H15AsO,phenyldiethylarsine oxide,5.831450429999719,7.419678239999339,0.57,0.44,0.6,-0.16,13743876,226.15,226.033885,226.033885,0,12,0,1,,17.1,CC[As](=O)(CC)C1=CC=CC=C1,163,1,27,4,1,12,6,5,1,0,10.0,15.0,,1.0,,,,,,,,,,1.0
PS(C6H5)C6H4-4Me,C19H17PS,4-Methylphenyldiphenylphosphine sulfide,6.299572889999386,7.3,0.13,0.3,0.09,0.21,4565912,308.4,308.07885871,308.07885871,0,21,0,1,6.1,32.1,CC1=CC=C(C=C1)P(=S)(C2=CC=CC=C2)C3=CC=CC=C3,336,1,38,4,3,21,16,4,1,0,19.0,17.0,,,1.0,,,1.0,,,,,,
PO(Et)2,C10H15OP,diethylphenylphosphine oxide,6.236821889999532,7.1,0.37,0.47,0.33,0.14,12759079,182.20,182.086052095,182.086052095,0,12,0,1,1.7,17.1,CCP(=O)(CC)C1=CC=CC=C1,163,1,27,4,1,12,6,5,1,0,10.0,15.0,,1.0,,,,1.0,,,,,,
PO(C4H9)2,C14H23OP,"Phosphine oxide, dibutylphenyl-",6.174070889999678,7.1,0.35,0.49,0.3,0.19,10999063,238.30,238.148652351,238.148652351,0,16,0,1,3.4,17.1,CCCCP(=O)(CCCC)C1=CC=CC=C1,207,1,39,4,1,16,6,9,1,0,14.0,23.0,,1.0,,,,1.0,,,,,,
PO(C4H9)2,C14H23OP,"Phosphine oxide, dibutylphenyl-",6.174070889999678,7.1,0.35,0.49,0.3,0.19,11020956,238.30,238.148652351,238.148652351,0,16,0,1,2.9,17.1,CC(C)(C)P(=O)(C1=CC=CC=C1)C(C)(C)C,256,1,39,4,1,16,6,9,1,0,14.0,23.0,,1.0,,,,1.0,,,,,,
PO(CMe3)2,C14H23OP,Di-tert-butyl(phenyl)phosphine oxide,4.291540889999607,5.5,0.31,0.41,0.28,0.13,10999063,238.30,238.148652351,238.148652351,0,16,0,1,3.4,17.1,CCCCP(=O)(CCCC)C1=CC=CC=C1,207,1,39,4,1,16,6,9,1,0,14.0,23.0,,1.0,,,,1.0,,,,,,
PO(CMe3)2,C14H23OP,Di-tert-butyl(phenyl)phosphine oxide,4.291540889999607,5.5,0.31,0.41,0.28,0.13,11020956,238.30,238.148652351,238.148652351,0,16,0,1,2.9,17.1,CC(C)(C)P(=O)(C1=CC=CC=C1)C(C)(C)C,256,1,39,4,1,16,6,9,1,0,14.0,23.0,,1.0,,,,1.0,,,,,,
Cl,C6H5Cl,CHLOROBENZENE,9.31162089000017,7.0,0.37,0.23,0.42,-0.19,7964,112.55,112.0079779,112.0079779,0,7,0,0,2.9,0,C1=CC=C(C=C1)Cl,46.1,1,12,3,1,7,6,1,0,0,6.0,5.0,,,,,1.0,,,,,,,
CSNHMe,C8H9NS,N-Methylbenzenecarbothioamide,6.487825890000061,7.0,0.3,0.34,0.29,0.05,3034652,151.23,151.04557046,151.04557046,0,10,1,1,1.5,44.1,CNC(=S)C1=CC=CC=C1,116,1,19,4,1,10,6,3,1,0,8.0,9.0,1.0,,1.0,,,,,,,,,
CSNHMe,C8H9NS,N-Methylbenzenecarbothioamide,6.487825890000061,7.0,0.3,0.34,0.29,0.05,820777,151.23,151.04557046,151.04557046,0,10,1,1,1.7,44.1,CC(=S)NC1=CC=CC=C1,116,1,19,4,1,10,6,3,1,0,8.0,9.0,1.0,,1.0,,,,,,,,,
NHCSMe,C8H9NS,Thioacetanilide,3.789532889999662,3.1,0.24,0.12,0.3,-0.18,3034652,151.23,151.04557046,151.04557046,0,10,1,1,1.5,44.1,CNC(=S)C1=CC=CC=C1,116,1,19,4,1,10,6,3,1,0,8.0,9.0,1.0,,1.0,,,,,,,,,
NHCSMe,C8H9NS,Thioacetanilide,3.789532889999662,3.1,0.24,0.12,0.3,-0.18,820777,151.23,151.04557046,151.04557046,0,10,1,1,1.7,44.1,CC(=S)NC1=CC=CC=C1,116,1,19,4,1,10,6,3,1,0,8.0,9.0,1.0,,1.0,,,,,,,,,
PO(C6H5)2,C18H15OP,Triphenylphosphine oxide,5.860315889999295,6.9,0.38,0.53,0.32,0.21,13097,278.3,278.086052095,278.086052095,0,20,0,1,2.8,17.1,C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3,281,1,35,4,3,20,16,3,1,0,18.0,15.0,,1.0,,,,1.0,,,,,,
CH2CONH2,C8H9NO,2-Phenylacetamide,7.491841889999951,6.7,0.06,0.07,0.08,-0.01,7680,135.16,135.068413911,135.068413911,0,10,1,1,0.5,43.1,C1=CC=C(C=C1)CC(=O)N,116,1,19,4,1,10,6,3,1,0,8.0,9.0,1.0,1.0,,,,,,,,,,
CH2CONH2,C8H9NO,2-Phenylacetamide,7.491841889999951,6.7,0.06,0.07,0.08,-0.01,11954,135.16,135.068413911,135.068413911,0,10,1,1,0.9,29.1,CNC(=O)C1=CC=CC=C1,116,1,19,4,1,10,6,3,1,0,8.0,9.0,1.0,1.0,,,,,,,,,,
CH2CONH2,C8H9NO,2-Phenylacetamide,7.491841889999951,6.7,0.06,0.07,0.08,-0.01,904,135.16,135.068413911,135.068413911,0,10,1,1,1.2,29.1,CC(=O)NC1=CC=CC=C1,116,1,19,4,1,10,6,3,1,0,8.0,9.0,1.0,1.0,,,,,,,,,,
CONHMe,C8H9NO,N-Methylbenzamide,5.546560890000026,6.4,0.35,0.36,0.35,-0.01,7680,135.16,135.068413911,135.068413911,0,10,1,1,0.5,43.1,C1=CC=C(C=C1)CC(=O)N,116,1,19,4,1,10,6,3,1,0,8.0,9.0,1.0,1.0,,,,,,,,,,
CONHMe,C8H9NO,N-Methylbenzamide,5.546560890000026,6.4,0.35,0.36,0.35,-0.01,11954,135.16,135.068413911,135.068413911,0,10,1,1,0.9,29.1,CNC(=O)C1=CC=CC=C1,116,1,19,4,1,10,6,3,1,0,8.0,9.0,1.0,1.0,,,,,,,,,,
CONHMe,C8H9NO,N-Methylbenzamide,5.546560890000026,6.4,0.35,0.36,0.35,-0.01,904,135.16,135.068413911,135.068413911,0,10,1,1,1.2,29.1,CC(=O)NC1=CC=CC=C1,116,1,19,4,1,10,6,3,1,0,8.0,9.0,1.0,1.0,,,,,,,,,,
NHCOMe,C8H9NO,acetanilide,1.7815008899998832,-1.4,0.21,0.0,0.31,-0.31,7680,135.16,135.068413911,135.068413911,0,10,1,1,0.5,43.1,C1=CC=C(C=C1)CC(=O)N,116,1,19,4,1,10,6,3,1,0,8.0,9.0,1.0,1.0,,,,,,,,,,
NHCOMe,C8H9NO,acetanilide,1.7815008899998832,-1.4,0.21,0.0,0.31,-0.31,11954,135.16,135.068413911,135.068413911,0,10,1,1,0.9,29.1,CNC(=O)C1=CC=CC=C1,116,1,19,4,1,10,6,3,1,0,8.0,9.0,1.0,1.0,,,,,,,,,,
NHCOMe,C8H9NO,acetanilide,1.7815008899998832,-1.4,0.21,0.0,0.31,-0.31,904,135.16,135.068413911,135.068413911,0,10,1,1,1.2,29.1,CC(=O)NC1=CC=CC=C1,116,1,19,4,1,10,6,3,1,0,8.0,9.0,1.0,1.0,,,,,,,,,,
CH2CN ,C8H7N,Phenylacetonitrile,7.868347890000188,6.7,0.16,0.18,0.17,0.01,8794,117.15,117.057849228,117.057849228,0,9,0,1,1.6,23.8,C1=CC=C(C=C1)CC#N,114,1,16,3,1,9,6,2,0,1,8.0,7.0,1.0,,,,,,,,,,,
PO(isopropyl)2,C12H19OP,Di(propan-2-yl)phosphorylbenzene,5.483809890000172,6.5,0.37,0.41,0.36,0.05,12977748,210.25,210.117352223,210.117352223,0,14,0,1,2.5,17.1,CC(C)P(=O)(C1=CC=CC=C1)C(C)C,202,1,33,4,1,14,6,7,1,0,12.0,19.0,,1.0,,,,1.0,,,,,,
OSO2Me,C7H8O3S,Phenyl methanesulfonate,7.680094889999512,6.3,0.39,0.36,0.4,-0.04,316170,172.20,172.01941529,172.01941529,0,11,0,3,1.2,51.8,CS(=O)(=O)OC1=CC=CC=C1,196,1,19,4,1,11,6,3,2,0,7.0,8.0,,3.0,1.0,,,,,,,,,
NHSO2Me,C7H9NO2S,N-Phenylmethanesulfonamide,9.31162089000017,6.2,0.2,0.03,0.28,-0.25,70970,171.22,171.03539970,171.03539970,0,11,1,3,0.9,54.6,CS(=O)(=O)NC1=CC=CC=C1,199,1,20,5,1,11,6,3,2,0,7.0,9.0,1.0,2.0,1.0,,,,,,,,,
SCH2F,C7H7FS,Fluoromethylphenylsulfide,6.738829889999477,6.2,0.23,0.2,0.25,-0.05,5314298,142.20,142.02524956,142.02524956,0,9,0,2,3.3,25.3,C1=CC=C(C=C1)SCF,69.3,1,16,4,1,9,6,3,0,0,7.0,7.0,,,1.0,1.0,,,,,,,,
